country_id,iso3c
1,AFG
2,ALB
3,ARE
4,ARG
5,ARM
6,AUS
7,AUT
8,AZE
9,BEL
10,BEN
11,BFA
12,BGD
13,BGR
14,BHR
15,BLR
16,BOL
17,BRA
18,BRN
19,BWA
20,CAF
21,CAN
22,CHE
23,CHL
24,CHN
25,CIV
26,CMR
27,COD
28,COG
29,COL
30,COM
31,CRI
32,CYP
33,CZE
34,DEU
35,DNK
36,DOM
37,DZA
38,ECU
39,EGY
40,ESP
41,EST
42,ETH
43,FIN
44,FRA
45,GAB
46,GBR
47,GEO
48,GHA
49,GIN
50,GNQ
51,GRC
52,GTM
53,HKG
54,HND
55,HRV
56,HTI
57,HUN
58,IDN
59,IND
60,IRL
61,IRN
62,IRQ
63,ISR
64,ITA
65,JAM
66,JOR
67,JPN
68,KAZ
69,KEN
70,KGZ
71,KHM
72,KOR
73,KWT
74,LAO
75,LBN
76,LKA
77,LTU
78,LUX
79,LVA
80,MAR
81,MDG
82,MEX
83,MLI
84,MLT
85,MNG
86,MOZ
87,MUS
88,MWI
89,MYS
90,NAM
91,NER
92,NGA
93,NIC
94,NLD
95,NOR
96,NPL
97,NZL
98,OMN
99,PAK
100,PAN
101,PER
102,PHL
103,POL
104,PRI
105,PRT
106,PRY
107,PSE
108,QAT
109,ROU
110,RUS
111,RWA
112,SAU
113,SDN
114,SEN
115,SGP
116,SLV
117,SRB
118,SVK
119,SVN
120,SWE
121,SWZ
122,SYR
123,TCD
124,TGO
125,THA
126,TJK
127,TTO
128,TUN
129,TUR
130,TWN
131,TZA
132,UGA
133,UKR
134,URY
135,USA
136,UZB
137,VEN
138,VNM
139,XAC
140,XCA
141,XCB
142,XEA
143,XEC
144,XEE
145,XEF
146,XER
147,XNA
148,XNF
149,XOC
150,XSA
151,XSC
152,XSE
153,XSM
154,XSU
155,XTW
156,XWF
157,XWS
158,ZAF
159,ZMB
160,ZWE
