enemy,country,value,ntb,scenario
USA,ALB,-0.0849752670509352,1.1,imports
USA,ARE,-0.041332824886986,1.1,imports
USA,ARG,-0.005191573319141,1.1,imports
USA,ARM,-0.0542735287595408,1.1,imports
USA,AUS,-0.000294764125086111,1.1,imports
USA,AUT,-0.112693078251047,1.1,imports
USA,AZE,-0.013207255205494,1.1,imports
USA,BEL,-0.462947602860853,1.1,imports
USA,BEN,-0.105502360006138,1.1,imports
USA,BFA,-0.0269788283082884,1.1,imports
USA,BGD,-0.00102541738092876,1.1,imports
USA,BGR,-0.0855657607665927,1.1,imports
USA,BHR,-0.0226628306423393,1.1,imports
USA,BLR,-0.0957676187020695,1.1,imports
USA,BOL,-0.00834340064987948,1.1,imports
USA,BRA,-0.0109566253525206,1.1,imports
USA,BRN,0.0160636007288995,1.1,imports
USA,BWA,0.0189429489809045,1.1,imports
USA,CAN,-0.0372600555734071,1.1,imports
USA,CHE,0.0176236453394818,1.1,imports
USA,CHL,0.029495437380378,1.1,imports
USA,CHN,0.00176956231101588,1.1,imports
USA,CIV,-0.0232278058488911,1.1,imports
USA,CMR,-0.0368970736747243,1.1,imports
USA,COL,-0.00526619491181268,1.1,imports
USA,CRI,0.090868928901644,1.1,imports
USA,CYP,-0.01024383443472,1.1,imports
USA,CZE,0.00142881572851028,1.1,imports
USA,DEU,-0.08925945060132,1.1,imports
USA,DNK,-0.155427531641228,1.1,imports
USA,DOM,0.0407020242956024,1.1,imports
USA,ECU,-0.0788162013273697,1.1,imports
USA,EGY,-0.0226706824437262,1.1,imports
USA,ESP,-0.0590165190472614,1.1,imports
USA,EST,-0.162878361656649,1.1,imports
USA,ETH,-0.0165453338524468,1.1,imports
USA,FIN,-0.105795373222084,1.1,imports
USA,FRA,-0.117683302285654,1.1,imports
USA,GBR,-0.0157904713463997,1.1,imports
USA,GEO,-0.0730392356238063,1.1,imports
USA,GHA,-0.00146345728962993,1.1,imports
USA,GIN,-0.0761666285378881,1.1,imports
USA,GRC,-0.100434692086082,1.1,imports
USA,GTM,0.0231063410134791,1.1,imports
USA,HKG,0.0124193138444362,1.1,imports
USA,HND,0.0463099283644297,1.1,imports
USA,HRV,-0.0968884809169235,1.1,imports
USA,HUN,-0.077444587504294,1.1,imports
USA,IDN,-0.000806066362257774,1.1,imports
USA,IND,-0.00813199489467786,1.1,imports
USA,IRL,-0.556629795251695,1.1,imports
USA,IRN,-0.0166651448570532,1.1,imports
USA,ISR,-0.0118736584991619,1.1,imports
USA,ITA,-0.0563288562723585,1.1,imports
USA,JAM,0.0731881123548828,1.1,imports
USA,JOR,-0.0474707106150052,1.1,imports
USA,JPN,0.00812254133459867,1.1,imports
USA,KAZ,0.00859735304830078,1.1,imports
USA,KEN,-0.0222671562767562,1.1,imports
USA,KGZ,-0.100649692474464,1.1,imports
USA,KHM,0.0162418340621029,1.1,imports
USA,KOR,0.0146973302718401,1.1,imports
USA,KWT,-0.0354373296983179,1.1,imports
USA,LAO,-0.0253289180251692,1.1,imports
USA,LKA,-0.0192156756436579,1.1,imports
USA,LTU,-0.194264396958965,1.1,imports
USA,LUX,-0.695828217627492,1.1,imports
USA,LVA,-0.156939336637996,1.1,imports
USA,MAR,-0.0352966345109729,1.1,imports
USA,MDG,-0.0177342900609334,1.1,imports
USA,MEX,-0.0239567047286116,1.1,imports
USA,MLT,-0.377191236747487,1.1,imports
USA,MNG,-0.0204091386936889,1.1,imports
USA,MOZ,-0.00413046338290091,1.1,imports
USA,MUS,-0.0206417949717541,1.1,imports
USA,MWI,-0.0349639097997789,1.1,imports
USA,MYS,0.0109056956226539,1.1,imports
USA,NAM,-0.0343614272172887,1.1,imports
USA,NGA,0.00198648059532847,1.1,imports
USA,NIC,-0.0539322071453685,1.1,imports
USA,NLD,-0.118361457867744,1.1,imports
USA,NOR,-0.00113151072299589,1.1,imports
USA,NPL,-0.0458003973115129,1.1,imports
USA,NZL,-0.00152453215519488,1.1,imports
USA,OMN,-0.0230191660780532,1.1,imports
USA,PAK,-0.0185284203139791,1.1,imports
USA,PAN,0.0295573094654555,1.1,imports
USA,PER,0.000117437263802422,1.1,imports
USA,PHL,-0.00989567892961674,1.1,imports
USA,POL,-0.0598525038309816,1.1,imports
USA,PRI,0.0277264369317409,1.1,imports
USA,PRT,-0.0770311836807869,1.1,imports
USA,PRY,0.0442838539237433,1.1,imports
USA,QAT,0.0738499067543197,1.1,imports
USA,ROU,-0.0669702543373174,1.1,imports
USA,RUS,-0.0214219122809722,1.1,imports
USA,RWA,-0.039592352577611,1.1,imports
USA,SAU,-0.0417491544903559,1.1,imports
USA,SEN,-0.0752103583963382,1.1,imports
USA,SGP,0.0544265707258518,1.1,imports
USA,SLV,0.0322908985274095,1.1,imports
USA,SVK,-0.00237128613675974,1.1,imports
USA,SVN,-0.0669829660629895,1.1,imports
USA,SWE,-0.0857175669804366,1.1,imports
USA,TGO,-0.101919246048932,1.1,imports
USA,THA,0.0153512911570175,1.1,imports
USA,TJK,-0.0734506053061579,1.1,imports
USA,TTO,-0.039888956719436,1.1,imports
USA,TUN,-0.0318527142973646,1.1,imports
USA,TUR,-0.0154167782917103,1.1,imports
USA,TWN,0.0071258433397503,1.1,imports
USA,TZA,-0.0201986317088898,1.1,imports
USA,UGA,-0.00978055263669564,1.1,imports
USA,UKR,-0.0295080223898236,1.1,imports
USA,URY,-0.00469538185047247,1.1,imports
USA,USA,-0.0922583076451544,1.1,imports
USA,VEN,-0.0206844198047285,1.1,imports
USA,VNM,-0.0306167275604063,1.1,imports
USA,XAC,-0.0616597831519017,1.1,imports
USA,XCA,0.0611997662352426,1.1,imports
USA,XCB,0.0172822742696477,1.1,imports
USA,XCF,-0.0709467820360854,1.1,imports
USA,XEA,0.153091020532359,1.1,imports
USA,XEC,-0.0229170791672395,1.1,imports
USA,XEE,-0.107772367657388,1.1,imports
USA,XEF,-0.0620590165067325,1.1,imports
USA,XER,-0.0623844285077113,1.1,imports
USA,XNA,0.0283794900576506,1.1,imports
USA,XNF,-0.0324846536847723,1.1,imports
USA,XOC,-0.0562024077333745,1.1,imports
USA,XSA,-0.0199143935365576,1.1,imports
USA,XSC,-0.0343933895992632,1.1,imports
USA,XSE,0.0166302702476751,1.1,imports
