country,status,value
BRA,New rateimposed,1.5
IND,New rateimposed,1.5
SYR,New rateimposed,1.41
LAO,New rateimposed,1.4
MMR,New rateimposed,1.4
CHE,New rateimposed,1.39
CAN,New rateimposed,1.35
IRQ,New rateimposed,1.35
SRB,New rateimposed,1.35
DZA,New rateimposed,1.3
BIH,New rateimposed,1.3
LBY,New rateimposed,1.3
ZAF,New rateimposed,1.3
BRN,New rateimposed,1.25
KAZ,New rateimposed,1.25
MDA,New rateimposed,1.25
TUN,New rateimposed,1.25
BGD,New rateimposed,1.2
LKA,New rateimposed,1.2
TWN,New rateimposed,1.2
KHM,New rateimposed,1.19
MYS,New rateimposed,1.19
PAK,New rateimposed,1.19
THA,New rateimposed,1.19
NIC,New rateimposed,1.18
AFG,New rateimposed,1.15
AGO,New rateimposed,1.15
BOL,New rateimposed,1.15
BWA,New rateimposed,1.15
CMR,New rateimposed,1.15
TCD,New rateimposed,1.15
CRI,New rateimposed,1.15
CIV,New rateimposed,1.15
COD,New rateimposed,1.15
ECU,New rateimposed,1.15
GNQ,New rateimposed,1.15
FJI,New rateimposed,1.15
GHA,New rateimposed,1.15
GUY,New rateimposed,1.15
ISL,New rateimposed,1.15
ISR,New rateimposed,1.15
JOR,New rateimposed,1.15
LSO,New rateimposed,1.15
LIE,New rateimposed,1.15
MDG,New rateimposed,1.15
MWI,New rateimposed,1.15
MUS,New rateimposed,1.15
MOZ,New rateimposed,1.15
NAM,New rateimposed,1.15
NRU,New rateimposed,1.15
NZL,New rateimposed,1.15
NGA,New rateimposed,1.15
MKD,New rateimposed,1.15
NOR,New rateimposed,1.15
PNG,New rateimposed,1.15
TTO,New rateimposed,1.15
TUR,New rateimposed,1.15
UGA,New rateimposed,1.15
VUT,New rateimposed,1.15
VEN,New rateimposed,1.15
ZMB,New rateimposed,1.15
ZWE,New rateimposed,1.15
VNM,Deal rate,1.2
IDN,Deal rate,1.19
PHL,Deal rate,1.19
AUT,Deal rate,1.15
BEL,Deal rate,1.15
BGR,Deal rate,1.15
HRV,Deal rate,1.15
CYP,Deal rate,1.15
CZE,Deal rate,1.15
DNK,Deal rate,1.15
EST,Deal rate,1.15
FIN,Deal rate,1.15
FRA,Deal rate,1.15
DEU,Deal rate,1.15
GRC,Deal rate,1.15
HUN,Deal rate,1.15
IRL,Deal rate,1.15
ITA,Deal rate,1.15
JPN,Deal rate,1.15
LVA,Deal rate,1.15
LTU,Deal rate,1.15
LUX,Deal rate,1.15
MLT,Deal rate,1.15
NLD,Deal rate,1.15
POL,Deal rate,1.15
PRT,Deal rate,1.15
ROU,Deal rate,1.15
SVK,Deal rate,1.15
SVN,Deal rate,1.15
KOR,Deal rate,1.15
ESP,Deal rate,1.15
SWE,Deal rate,1.15
GBR,Deal rate,1.1
CHN,Upcomingdeadline,1.3
MEX,Upcomingdeadline,1.25
SGP,Baselinetariff,1.1
COL,Baselinetariff,1.1
